Values	total	status	pValue
Min.	1	AfrAmr	0.1559299485532354
1st Qu.	11.5	AfrAmr	0.1559299485532354
Median	15.5	AfrAmr	0.1559299485532354
Mean	16	AfrAmr	0.1559299485532354
3rd Qu.	20	AfrAmr	0.1559299485532354
Max.	32	AfrAmr	0.1559299485532354
Min.	0	EurAmr	0.1559299485532354
1st Qu.	4	EurAmr	0.1559299485532354
Median	7	EurAmr	0.1559299485532354
Mean	8	EurAmr	0.1559299485532354
3rd Qu.	10	EurAmr	0.1559299485532354
Max.	37	EurAmr	0.1559299485532354
