variant_classification	pValue	Cancer	Pipeline	sig	loc
Missense_Mutation	0.448334981253428	KICH	muse	0	1
Silent	0.09202438614389066	KICH	muse	0	1
3'UTR	0.9522726321184475	KICH	muse	0	1
Nonsense_Mutation	0.09162337768583721	KICH	muse	0	1
5'UTR	0.4079446987715285	KICH	muse	0	1
