variant_classification	pValue	Cancer	Pipeline	sig	loc
Missense_Mutation	0.0555808751011082	KICH	muse	0	1
Silent	0.844421457931577	KICH	muse	0	1
3'UTR	0.2630375676118907	KICH	muse	0	1
Nonsense_Mutation	0.026646197220014843	KICH	muse	1	1
5'UTR	0.577258058992036	KICH	muse	0	1
