Values	total	status	pValue
Min.	19	white	0.7193023780633998
1st Qu.	107	white	0.7193023780633998
Median	199	white	0.7193023780633998
Mean	281.28	white	0.7193023780633998
3rd Qu.	327.5	white	0.7193023780633998
Max.	1716	white	0.7193023780633998
Min.	61	black or african american	0.7193023780633998
1st Qu.	99	black or african american	0.7193023780633998
Median	234	black or african american	0.7193023780633998
Mean	214.777777777778	black or african american	0.7193023780633998
3rd Qu.	247	black or african american	0.7193023780633998
Max.	434	black or african american	0.7193023780633998
