Values	total	status	pValue
Min.	34	white	0.19483514774305027
1st Qu.	52.75	white	0.19483514774305027
Median	93.5	white	0.19483514774305027
Mean	87	white	0.19483514774305027
3rd Qu.	120.75	white	0.19483514774305027
Max.	132	white	0.19483514774305027
Min.	104	black or african american	0.19483514774305027
1st Qu.	116	black or african american	0.19483514774305027
Median	128	black or african american	0.19483514774305027
Mean	127	black or african american	0.19483514774305027
3rd Qu.	138.5	black or african american	0.19483514774305027
Max.	149	black or african american	0.19483514774305027
