Values	total	status	pValue
Min.	1	white	0.20457318547488182
1st Qu.	67.5	white	0.20457318547488182
Median	138	white	0.20457318547488182
Mean	206.725190839695	white	0.20457318547488182
3rd Qu.	278	white	0.20457318547488182
Max.	1094	white	0.20457318547488182
Min.	32	black or african american	0.20457318547488182
1st Qu.	96.5	black or african american	0.20457318547488182
Median	221.5	black or african american	0.20457318547488182
Mean	344.785714285714	black or african american	0.20457318547488182
3rd Qu.	373.5	black or african american	0.20457318547488182
Max.	1615	black or african american	0.20457318547488182
