Values	total	status	pValue
Min.	0	M	0.2123746444733956
1st Qu.	4	M	0.2123746444733956
Median	7	M	0.2123746444733956
Mean	18.2178571428571	M	0.2123746444733956
3rd Qu.	14	M	0.2123746444733956
Max.	606	M	0.2123746444733956
Min.	0	F	0.2123746444733956
1st Qu.	4	F	0.2123746444733956
Median	9	F	0.2123746444733956
Mean	20.1783439490446	F	0.2123746444733956
3rd Qu.	29	F	0.2123746444733956
Max.	237	F	0.2123746444733956
