Values	total	status	pValue
Min.	0	M	0.05009104176109793
1st Qu.	2	M	0.05009104176109793
Median	5	M	0.05009104176109793
Mean	9.29032258064516	M	0.05009104176109793
3rd Qu.	10	M	0.05009104176109793
Max.	89	M	0.05009104176109793
Min.	0	F	0.05009104176109793
1st Qu.	0.75	F	0.05009104176109793
Median	3	F	0.05009104176109793
Mean	3.65	F	0.05009104176109793
3rd Qu.	5.25	F	0.05009104176109793
Max.	14	F	0.05009104176109793
