Values	total	status	pValue
Min.	0	M	0.9738884684837639
1st Qu.	2	M	0.9738884684837639
Median	3	M	0.9738884684837639
Mean	3.88095238095238	M	0.9738884684837639
3rd Qu.	5	M	0.9738884684837639
Max.	12	M	0.9738884684837639
Min.	0	F	0.9738884684837639
1st Qu.	2	F	0.9738884684837639
Median	3	F	0.9738884684837639
Mean	4.8	F	0.9738884684837639
3rd Qu.	5	F	0.9738884684837639
Max.	33	F	0.9738884684837639
