Values	total	status	pValue
Min.	0	M	0.6934913163062897
1st Qu.	4	M	0.6934913163062897
Median	9	M	0.6934913163062897
Mean	9.82051282051282	M	0.6934913163062897
3rd Qu.	11	M	0.6934913163062897
Max.	38	M	0.6934913163062897
Min.	1	F	0.6934913163062897
1st Qu.	4.25	F	0.6934913163062897
Median	7	F	0.6934913163062897
Mean	12.2857142857143	F	0.6934913163062897
3rd Qu.	21.25	F	0.6934913163062897
Max.	28	F	0.6934913163062897
