Values	total	status	pValue
Min.	1	smoker	0.8627940938610564
1st Qu.	102	smoker	0.8627940938610564
Median	167	smoker	0.8627940938610564
Mean	210.253012048193	smoker	0.8627940938610564
3rd Qu.	261	smoker	0.8627940938610564
Max.	2942	smoker	0.8627940938610564
Min.	3	non-smoker	0.8627940938610564
1st Qu.	99.25	non-smoker	0.8627940938610564
Median	178.5	non-smoker	0.8627940938610564
Mean	196.986111111111	non-smoker	0.8627940938610564
3rd Qu.	252.5	non-smoker	0.8627940938610564
Max.	683	non-smoker	0.8627940938610564
