Values	total	status	pValue
Min.	1	smoker	5.5944712590717334e-5
1st Qu.	71.25	smoker	5.5944712590717334e-5
Median	157	smoker	5.5944712590717334e-5
Mean	247.666666666667	smoker	5.5944712590717334e-5
3rd Qu.	350.25	smoker	5.5944712590717334e-5
Max.	1364	smoker	5.5944712590717334e-5
Min.	2	non-smoker	5.5944712590717334e-5
1st Qu.	20	non-smoker	5.5944712590717334e-5
Median	68	non-smoker	5.5944712590717334e-5
Mean	153.951807228916	non-smoker	5.5944712590717334e-5
3rd Qu.	201.5	non-smoker	5.5944712590717334e-5
Max.	1160	non-smoker	5.5944712590717334e-5
