Values	total	status	pValue
Min.	0	NS	5.212991875786386e-4
1st Qu.	1	NS	5.212991875786386e-4
Median	2	NS	5.212991875786386e-4
Mean	5.13297872340426	NS	5.212991875786386e-4
3rd Qu.	5	NS	5.212991875786386e-4
Max.	54	NS	5.212991875786386e-4
Min.	0	S	5.212991875786386e-4
1st Qu.	2	S	5.212991875786386e-4
Median	4	S	5.212991875786386e-4
Mean	6.65919282511211	S	5.212991875786386e-4
3rd Qu.	7	S	5.212991875786386e-4
Max.	134	S	5.212991875786386e-4
