Values	total	status	pValue
Min.	1	smoker	0.6253953105709467
1st Qu.	81	smoker	0.6253953105709467
Median	121	smoker	0.6253953105709467
Mean	188.034482758621	smoker	0.6253953105709467
3rd Qu.	253	smoker	0.6253953105709467
Max.	884	smoker	0.6253953105709467
Min.	2	non-smoker	0.6253953105709467
1st Qu.	61.75	non-smoker	0.6253953105709467
Median	101	non-smoker	0.6253953105709467
Mean	177.55	non-smoker	0.6253953105709467
3rd Qu.	209	non-smoker	0.6253953105709467
Max.	1021	non-smoker	0.6253953105709467
