Values	total	status	pValue
Min.	0	M	0.0012947919304243923
1st Qu.	2	M	0.0012947919304243923
Median	5	M	0.0012947919304243923
Mean	4.97073170731707	M	0.0012947919304243923
3rd Qu.	7	M	0.0012947919304243923
Max.	13	M	0.0012947919304243923
Min.	0	F	0.0012947919304243923
1st Qu.	1.75	F	0.0012947919304243923
Median	3	F	0.0012947919304243923
Mean	3.61842105263158	F	0.0012947919304243923
3rd Qu.	5	F	0.0012947919304243923
Max.	11	F	0.0012947919304243923
