Values	total	status	pValue
Min.	7	smoker	0.29178270327493233
1st Qu.	82	smoker	0.29178270327493233
Median	169	smoker	0.29178270327493233
Mean	230.712	smoker	0.29178270327493233
3rd Qu.	272	smoker	0.29178270327493233
Max.	1716	smoker	0.29178270327493233
Min.	4	non-smoker	0.29178270327493233
1st Qu.	77	non-smoker	0.29178270327493233
Median	148	non-smoker	0.29178270327493233
Mean	214.669642857143	non-smoker	0.29178270327493233
3rd Qu.	252.25	non-smoker	0.29178270327493233
Max.	1212	non-smoker	0.29178270327493233
