Values	total	status	pValue
Min.	3	white	0.15092890371371365
1st Qu.	84.75	white	0.15092890371371365
Median	191.5	white	0.15092890371371365
Mean	300.69298245614	white	0.15092890371371365
3rd Qu.	427.25	white	0.15092890371371365
Max.	1637	white	0.15092890371371365
Min.	29	black or african american	0.15092890371371365
1st Qu.	103.5	black or african american	0.15092890371371365
Median	303	black or african american	0.15092890371371365
Mean	358.735294117647	black or african american	0.15092890371371365
3rd Qu.	503.5	black or african american	0.15092890371371365
Max.	1358	black or african american	0.15092890371371365
