Values	total	status	pValue
Min.	1	white	0.5972291199596111
1st Qu.	18	white	0.5972291199596111
Median	47	white	0.5972291199596111
Mean	53.646017699115	white	0.5972291199596111
3rd Qu.	71	white	0.5972291199596111
Max.	397	white	0.5972291199596111
Min.	25	black or african american	0.5972291199596111
1st Qu.	47.25	black or african american	0.5972291199596111
Median	55.5	black or african american	0.5972291199596111
Mean	52.8333333333333	black or african american	0.5972291199596111
3rd Qu.	61.5	black or african american	0.5972291199596111
Max.	73	black or african american	0.5972291199596111
