Values	total	status	pValue
Min.	0	M	0.13798918052312314
1st Qu.	2	M	0.13798918052312314
Median	6	M	0.13798918052312314
Mean	9.0210970464135	M	0.13798918052312314
3rd Qu.	12	M	0.13798918052312314
Max.	59	M	0.13798918052312314
Min.	0	F	0.13798918052312314
1st Qu.	1	F	0.13798918052312314
Median	5	F	0.13798918052312314
Mean	7.99267399267399	F	0.13798918052312314
3rd Qu.	11	F	0.13798918052312314
Max.	57	F	0.13798918052312314
