Values	total	status	pValue
Min.	1	smoker	7.074964374563129e-4
1st Qu.	53	smoker	7.074964374563129e-4
Median	73.5	smoker	7.074964374563129e-4
Mean	73.1710526315789	smoker	7.074964374563129e-4
3rd Qu.	93.5	smoker	7.074964374563129e-4
Max.	159	smoker	7.074964374563129e-4
Min.	7	non-smoker	7.074964374563129e-4
1st Qu.	37	non-smoker	7.074964374563129e-4
Median	58	non-smoker	7.074964374563129e-4
Mean	58.4048780487805	non-smoker	7.074964374563129e-4
3rd Qu.	78	non-smoker	7.074964374563129e-4
Max.	168	non-smoker	7.074964374563129e-4
