Values	total	status	pValue
Min.	3	smoker	2.034110419738454e-4
1st Qu.	76	smoker	2.034110419738454e-4
Median	151	smoker	2.034110419738454e-4
Mean	212.009090909091	smoker	2.034110419738454e-4
3rd Qu.	277.5	smoker	2.034110419738454e-4
Max.	1505	smoker	2.034110419738454e-4
Min.	3	non-smoker	2.034110419738454e-4
1st Qu.	28	non-smoker	2.034110419738454e-4
Median	62	non-smoker	2.034110419738454e-4
Mean	128.301587301587	non-smoker	2.034110419738454e-4
3rd Qu.	191.5	non-smoker	2.034110419738454e-4
Max.	995	non-smoker	2.034110419738454e-4
