Values	total	status	pValue
Min.	3	smoker	2.468413782690429e-10
1st Qu.	99.25	smoker	2.468413782690429e-10
Median	206	smoker	2.468413782690429e-10
Mean	293.325714285714	smoker	2.468413782690429e-10
3rd Qu.	394.75	smoker	2.468413782690429e-10
Max.	1505	smoker	2.468413782690429e-10
Min.	3	non-smoker	2.468413782690429e-10
1st Qu.	34	non-smoker	2.468413782690429e-10
Median	77	non-smoker	2.468413782690429e-10
Mean	180.322784810127	non-smoker	2.468413782690429e-10
3rd Qu.	249.5	non-smoker	2.468413782690429e-10
Max.	1637	non-smoker	2.468413782690429e-10
