Values	total	status	pValue
Min.	6	female	0.5613356789849371
1st Qu.	157	female	0.5613356789849371
Median	221	female	0.5613356789849371
Mean	268.881355932203	female	0.5613356789849371
3rd Qu.	322.5	female	0.5613356789849371
Max.	923	female	0.5613356789849371
Min.	51	male	0.5613356789849371
1st Qu.	156.75	male	0.5613356789849371
Median	228	male	0.5613356789849371
Mean	308.30612244898	male	0.5613356789849371
3rd Qu.	353.5	male	0.5613356789849371
Max.	3395	male	0.5613356789849371
