Values	total	status	pValue
Min.	0	NS	0.3933260588924251
1st Qu.	0	NS	0.3933260588924251
Median	0	NS	0.3933260588924251
Mean	0.418181818181818	NS	0.3933260588924251
3rd Qu.	1	NS	0.3933260588924251
Max.	4	NS	0.3933260588924251
Min.	0	S	0.3933260588924251
1st Qu.	0	S	0.3933260588924251
Median	0	S	0.3933260588924251
Mean	0.818181818181818	S	0.3933260588924251
3rd Qu.	1.5	S	0.3933260588924251
Max.	4	S	0.3933260588924251
