Values	total	status	pValue
Min.	0	NS	0.4650733123212955
1st Qu.	1	NS	0.4650733123212955
Median	4	NS	0.4650733123212955
Mean	7.38073394495413	NS	0.4650733123212955
3rd Qu.	8.75	NS	0.4650733123212955
Max.	96	NS	0.4650733123212955
Min.	0	S	0.4650733123212955
1st Qu.	2	S	0.4650733123212955
Median	4	S	0.4650733123212955
Mean	7.92280701754386	S	0.4650733123212955
3rd Qu.	10	S	0.4650733123212955
Max.	81	S	0.4650733123212955
