Values	total	status	pValue
Min.	0	NS	2.3192287261256223e-5
1st Qu.	1	NS	2.3192287261256223e-5
Median	1	NS	2.3192287261256223e-5
Mean	4.62650602409639	NS	2.3192287261256223e-5
3rd Qu.	7.5	NS	2.3192287261256223e-5
Max.	33	NS	2.3192287261256223e-5
Min.	0	S	2.3192287261256223e-5
1st Qu.	2	S	2.3192287261256223e-5
Median	6	S	2.3192287261256223e-5
Mean	8.42380952380952	S	2.3192287261256223e-5
3rd Qu.	12	S	2.3192287261256223e-5
Max.	58	S	2.3192287261256223e-5
