Values	total	status	pValue
Min.	7	smoker	4.6552302036243534e-4
1st Qu.	55.75	smoker	4.6552302036243534e-4
Median	78.5	smoker	4.6552302036243534e-4
Mean	75.7763157894737	smoker	4.6552302036243534e-4
3rd Qu.	96.25	smoker	4.6552302036243534e-4
Max.	154	smoker	4.6552302036243534e-4
Min.	7	non-smoker	4.6552302036243534e-4
1st Qu.	39	non-smoker	4.6552302036243534e-4
Median	61	non-smoker	4.6552302036243534e-4
Mean	60.8536585365854	non-smoker	4.6552302036243534e-4
3rd Qu.	81	non-smoker	4.6552302036243534e-4
Max.	168	non-smoker	4.6552302036243534e-4
