Values	total	status	pValue
Min.	6	smoker	0.6200989312471922
1st Qu.	168.25	smoker	0.6200989312471922
Median	228	smoker	0.6200989312471922
Mean	299.809523809524	smoker	0.6200989312471922
3rd Qu.	341	smoker	0.6200989312471922
Max.	3339	smoker	0.6200989312471922
Min.	27	non-smoker	0.6200989312471922
1st Qu.	150	non-smoker	0.6200989312471922
Median	214	non-smoker	0.6200989312471922
Mean	266.51724137931	non-smoker	0.6200989312471922
3rd Qu.	302	non-smoker	0.6200989312471922
Max.	890	non-smoker	0.6200989312471922
