Values	total	status	pValue
Min.	25	smoker	0.8031396597335809
1st Qu.	178.5	smoker	0.8031396597335809
Median	242.5	smoker	0.8031396597335809
Mean	326.256880733945	smoker	0.8031396597335809
3rd Qu.	368.25	smoker	0.8031396597335809
Max.	3339	smoker	0.8031396597335809
Min.	27	non-smoker	0.8031396597335809
1st Qu.	191	non-smoker	0.8031396597335809
Median	272.5	non-smoker	0.8031396597335809
Mean	319.263157894737	non-smoker	0.8031396597335809
3rd Qu.	359.75	non-smoker	0.8031396597335809
Max.	1037	non-smoker	0.8031396597335809
