Values	total	status	pValue
Min.	5	AfrAmr	0.1306484182936642
1st Qu.	13	AfrAmr	0.1306484182936642
Median	19	AfrAmr	0.1306484182936642
Mean	21.4	AfrAmr	0.1306484182936642
3rd Qu.	24	AfrAmr	0.1306484182936642
Max.	46	AfrAmr	0.1306484182936642
Min.	0	EurAmr	0.1306484182936642
1st Qu.	19	EurAmr	0.1306484182936642
Median	33	EurAmr	0.1306484182936642
Mean	47.9272727272727	EurAmr	0.1306484182936642
3rd Qu.	69	EurAmr	0.1306484182936642
Max.	217	EurAmr	0.1306484182936642
