Values	total	status	pValue
Min.	1	AfrAmr	0.13588952378521454
1st Qu.	1	AfrAmr	0.13588952378521454
Median	1.5	AfrAmr	0.13588952378521454
Mean	1.5	AfrAmr	0.13588952378521454
3rd Qu.	2	AfrAmr	0.13588952378521454
Max.	2	AfrAmr	0.13588952378521454
Min.	0	EurAmr	0.13588952378521454
1st Qu.	0	EurAmr	0.13588952378521454
Median	1	EurAmr	0.13588952378521454
Mean	8.53125	EurAmr	0.13588952378521454
3rd Qu.	2	EurAmr	0.13588952378521454
Max.	729	EurAmr	0.13588952378521454
