Values	total	status	pValue
Min.	0	NS	0.6482578565521577
1st Qu.	4	NS	0.6482578565521577
Median	8	NS	0.6482578565521577
Mean	9.89473684210526	NS	0.6482578565521577
3rd Qu.	12.75	NS	0.6482578565521577
Max.	36	NS	0.6482578565521577
Min.	0	S	0.6482578565521577
1st Qu.	4	S	0.6482578565521577
Median	7	S	0.6482578565521577
Mean	8.6405529953917	S	0.6482578565521577
3rd Qu.	12	S	0.6482578565521577
Max.	41	S	0.6482578565521577
