Values	total	status	pValue
Min.	0	NS	0.45853544678894054
1st Qu.	8.5	NS	0.45853544678894054
Median	15	NS	0.45853544678894054
Mean	21.4	NS	0.45853544678894054
3rd Qu.	20.5	NS	0.45853544678894054
Max.	100	NS	0.45853544678894054
Min.	1	S	0.45853544678894054
1st Qu.	3	S	0.45853544678894054
Median	5.5	S	0.45853544678894054
Mean	24.8333333333333	S	0.45853544678894054
3rd Qu.	17.75	S	0.45853544678894054
Max.	113	S	0.45853544678894054
