Values	total	status	pValue
Min.	0	NS	0.003567341942433137
1st Qu.	1	NS	0.003567341942433137
Median	3	NS	0.003567341942433137
Mean	3.21463414634146	NS	0.003567341942433137
3rd Qu.	5	NS	0.003567341942433137
Max.	21	NS	0.003567341942433137
Min.	0	S	0.003567341942433137
1st Qu.	2.75	S	0.003567341942433137
Median	4	S	0.003567341942433137
Mean	3.90789473684211	S	0.003567341942433137
3rd Qu.	5	S	0.003567341942433137
Max.	10	S	0.003567341942433137
