Values	total	status	pValue
Min.	6	smoker	6.230166572145853e-4
1st Qu.	47	smoker	6.230166572145853e-4
Median	62	smoker	6.230166572145853e-4
Mean	62.8157894736842	smoker	6.230166572145853e-4
3rd Qu.	79	smoker	6.230166572145853e-4
Max.	139	smoker	6.230166572145853e-4
Min.	5	non-smoker	6.230166572145853e-4
1st Qu.	32	non-smoker	6.230166572145853e-4
Median	48	non-smoker	6.230166572145853e-4
Mean	50.6048780487805	non-smoker	6.230166572145853e-4
3rd Qu.	68	non-smoker	6.230166572145853e-4
Max.	145	non-smoker	6.230166572145853e-4
