Values	total	status	pValue
Min.	15	smoker	0.031168831168831172
1st Qu.	129	smoker	0.031168831168831172
Median	204.5	smoker	0.031168831168831172
Mean	230.21875	smoker	0.031168831168831172
3rd Qu.	284.75	smoker	0.031168831168831172
Max.	771	smoker	0.031168831168831172
Min.	1	non-smoker	0.031168831168831172
1st Qu.	8.5	non-smoker	0.031168831168831172
Median	16	non-smoker	0.031168831168831172
Mean	62.3333333333333	non-smoker	0.031168831168831172
3rd Qu.	93	non-smoker	0.031168831168831172
Max.	170	non-smoker	0.031168831168831172
