Values	total	status	pValue
Min.	5	smoker	0.1787337358272516
1st Qu.	62	smoker	0.1787337358272516
Median	140.5	smoker	0.1787337358272516
Mean	176.052631578947	smoker	0.1787337358272516
3rd Qu.	271.25	smoker	0.1787337358272516
Max.	513	smoker	0.1787337358272516
Min.	2	non-smoker	0.1787337358272516
1st Qu.	87	non-smoker	0.1787337358272516
Median	187	non-smoker	0.1787337358272516
Mean	243.111111111111	non-smoker	0.1787337358272516
3rd Qu.	344.5	non-smoker	0.1787337358272516
Max.	812	non-smoker	0.1787337358272516
