Values	total	status	pValue
Min.	1	smoker	6.515170450527873e-6
1st Qu.	110	smoker	6.515170450527873e-6
Median	235	smoker	6.515170450527873e-6
Mean	334.422535211268	smoker	6.515170450527873e-6
3rd Qu.	443	smoker	6.515170450527873e-6
Max.	1448	smoker	6.515170450527873e-6
Min.	12	non-smoker	6.515170450527873e-6
1st Qu.	38.25	non-smoker	6.515170450527873e-6
Median	97.5	non-smoker	6.515170450527873e-6
Mean	212.345238095238	non-smoker	6.515170450527873e-6
3rd Qu.	285.75	non-smoker	6.515170450527873e-6
Max.	1483	non-smoker	6.515170450527873e-6
