Values	total	status	pValue
Min.	1	smoker	0.3615513031124201
1st Qu.	146.75	smoker	0.3615513031124201
Median	210	smoker	0.3615513031124201
Mean	265.971153846154	smoker	0.3615513031124201
3rd Qu.	326	smoker	0.3615513031124201
Max.	3258	smoker	0.3615513031124201
Min.	1	non-smoker	0.3615513031124201
1st Qu.	151.25	non-smoker	0.3615513031124201
Median	199.5	non-smoker	0.3615513031124201
Mean	243.472972972973	non-smoker	0.3615513031124201
3rd Qu.	293	non-smoker	0.3615513031124201
Max.	889	non-smoker	0.3615513031124201
