variant_classification	pValue	Cancer	Pipeline	sig	loc
3'UTR	0.02512705361983133	LUAD	mutect	1	1
5'UTR	0.08024393612690127	LUAD	mutect	0	1
Missense_Mutation	0.09756640157123062	LUAD	mutect	0	1
Nonsense_Mutation	0.23544001056841538	LUAD	mutect	0	1
Silent	0.04404474262503574	LUAD	mutect	1	1
