X1	gene	pvalue	pipeline
0	PHF21A	0.5	muse
0	PPARGC1A	0.5	muse
0	PRDM7	0.5	muse
0	PTDSS1	0.5	muse
0	SLC18A1	0.5	muse
0	SLC25A23	0.5	muse
0	SMCR8	0.5	muse
0	SPAG7	0.5	muse
0	SPIRE2	0.5	muse
0	THSD7B	0.5	muse
0	TMCO5A	0.5	muse
0	TMEM132C	0.5	muse
0	TVP23C	0.5	muse
0	ZC3H3	0.5	muse
0	ZNF843	0.5	muse
0	ANXA8	0.5	muse
0	ATG13	0.5	muse
0	C12orf4	0.5	muse
0	CACNA1B	0.36183680491588155	muse
0	CGB2	0.5	muse
0	CSH1	0.5	muse
0	CTNND2	0.34154569915480437	muse
0	DNAJC8	0.5	muse
0	GAPDHS	0.5	muse
0	HPN	0.5	muse
0	HZGJ	0.5	muse
0	IGKV2D-24	0.5	muse
0	IQUB	0.5	muse
0	KLHL31	0.5	muse
0	KRTAP10-1	0.5	muse
0	LGALS7	0.5	muse
0	LRG1	0.5	muse
0	LRMP	0.5	muse
0	MAGEB18	0.5	muse
0	MYADML2	0.5	muse
0	MYOD1	0.5	muse
0	NT5DC1	0.5	muse
0	OBSCN	0.42505336956926293	muse
0	OR5D14	0.5	muse
0	OSER1	0.5	muse
0	PCYT2	0.5	muse
0	PHACTR4	0.5	muse
0	RNASEH2C	0.5	muse
0	ROBO2	0.39463401306714063	muse
0	RUNDC1	0.5	muse
0	SNRPA1	0.5	muse
0	SP6	0.5	muse
0	SYF2	0.5	muse
0	TRAK2	0.5	muse
0	TTC23	0.5	muse
0	CDO1	0.5	muse
0	GPR137B	0.5	muse
0	HYAL4	0.5	muse
0	LCA5L	0.5	muse
0	LCP2	0.23975006109347674	muse
0	PCNT	0.5	muse
0	SIMC1	0.23975006109347674	muse
0	TTC37	0.5	muse
0	AANAT	0.5	muse
0	ATP13A4	0.34154569915480437	muse
0	AZU1	0.5	muse
0	BCL6	0.23975006109347674	muse
0	BIRC6	0.11929641465821778	muse
0	CD5L	0.5	muse
0	DNAH1	0.5	muse
0	FKBP11	0.5	muse
0	HIST1H2BK	0.5	muse
0	KCNB2	0.5	muse
0	KCNK12	0.5	muse
0	LRP2	0.34154569915480437	muse
0	LRRC39	0.5	muse
0	MID1IP1	0.5	muse
0	NRG3	0.5	muse
0	PAK7	0.36183680491588155	muse
0	POC1A	0.5	muse
0	PRPF4	0.5	muse
0	SLC1A5	0.5	muse
0	SMARCAL1	0.5	muse
0	TNF	0.5	muse
0	TPH2	0.5	muse
0	WISP2	0.5	muse
0	ZNF398	0.23975006109347674	muse
0	ZNF70	0.5	muse
0	BTN3A1	0.23975006109347674	muse
0	CLDN23	0.5	muse
0	DNTTIP2	0.5	muse
0	DOCK2	0.3334772643464097	muse
0	DUSP2	0.5	muse
