X1	gene	pvalue	pipeline
0	EPO	0.5	muse
0	FERMT1	0.23975006109347674	muse
0	GAB3	0.5	muse
0	GABRB3	0.5	muse
0	HNRNPL	0.5	muse
0	IGLJ4	0.5	muse
0	LUZP6	0.5	muse
0	MAP7D1	0.5	muse
0	OR5K2	0.5	muse
0	PGM1	0.5	muse
0	PSMB10	0.5	muse
0	RBM12B	0.12410653949496181	muse
0	SLC26A2	0.23975006109347674	muse
0	SRSF3	0.5	muse
0	TAF2	0.5	muse
0	TRIP10	0.5	muse
0	TSHZ3	0.5	muse
0	TTLL11	0.5	muse
0	ZAN	0.23975006109347674	muse
0	ZGPAT	0.5	muse
0	ABCB1	0.06680720126885807	muse
0	ADNP2	0.5	muse
0	ARHGEF2	0.5	muse
0	ARHGEF37	0.5	muse
0	ATAD2B	0.23975006109347674	muse
0	ATG16L2	0.5	muse
0	ATXN1L	0.5	muse
0	AXDND1	0.5	muse
0	C9orf153	0.5	muse
0	CAPS	0.5	muse
0	CEP350	0.5	muse
0	COA4	0.5	muse
0	DHRS7	0.5	muse
0	EEPD1	0.5	muse
0	GOLGA6L6	0.5	muse
0	HMX3	0.5	muse
0	IDH3A	0.5	muse
0	IER2	0.5	muse
0	IMPACT	0.5	muse
0	INPP5J	0.5	muse
0	KDELR1	0.5	muse
0	LOXL4	0.23975006109347674	muse
0	LPO	0.23975006109347674	muse
0	MAT2A	0.5	muse
0	MATN3	0.5	muse
0	MTR	0.5	muse
0	NDOR1	0.5	muse
0	NEIL2	0.5	muse
0	NME8	0.5	muse
0	NRAS	0.5	muse
0	NRD1	0.23975006109347674	muse
0	OR11H12	0.5	muse
0	PDE6G	0.5	muse
0	PGAP3	0.23975006109347674	muse
0	PRMT7	0.5	muse
0	PRSS3	0.5	muse
0	PVR	0.5	muse
0	RAVER1	0.5	muse
0	RNF150	0.23975006109347674	muse
0	SAP18	0.5	muse
0	SBSN	0.5	muse
0	SIGMAR1	0.5	muse
0	SP8	0.5	muse
0	SUPT16H	0.5	muse
0	SV2C	0.23975006109347674	muse
0	SYNE2	0.5	muse
0	TRAK2	0.5	muse
0	USP45	0.5	muse
0	WBSCR27	0.5	muse
0	WDR1	0.5	muse
0	ZBTB2	0.5	muse
0	ZKSCAN4	0.5	muse
0	ZNF146	0.5	muse
0	ZNF414	0.5	muse
0	ANXA1	0.5	muse
0	C16orf58	0.5	muse
0	CAMSAP2	0.5	muse
0	GIMAP4	0.5	muse
0	KBTBD3	0.5	muse
0	OBSCN	0.5	muse
0	RNF135	0.5	muse
0	C5orf60	0.5	muse
0	DENND1B	0.5	muse
0	OR5P3	0.5	muse
0	PACRGL	0.5	muse
0	UBA3	0.5	muse
0	ZNF354A	0.23975006109347674	muse
0	ASCC2	0.5	muse
0	C1QC	0.5	muse
0	CAAP1	0.5	muse
0	CD109	0.5	muse
0	FCGBP	0.020613416668581838	muse
0	OR6Q1	0.5	muse
0	PCDHGB6	0.5	muse
0	PRPF40B	0.23975006109347674	muse
0	PRR23B	0.5	muse
0	RADIL	0.5	muse
0	SAMD4B	0.5	muse
0	SSTR5	0.5	muse
0	TMC2	0.5	muse
0	WDR27	0.5	muse
0	ACSL4	0.5	muse
0	ADAMTS18	0.12410653949496181	muse
0	ADAMTSL4	0.5	muse
0	ADCY7	0.5	muse
0	ADD2	0.5	muse
0	ADGRB3	0.5	muse
0	AEBP1	0.5	muse
0	AJUBA	0.5	muse
0	ALX4	0.5	muse
0	ANKRD13D	0.5	muse
0	ANKRD26	0.5	muse
0	ANXA5	0.5	muse
0	ANXA6	0.5	muse
0	AP1G1	0.5	muse
0	APOBEC3D	0.5	muse
0	ARRB1	0.23975006109347674	muse
0	ASB13	0.5	muse
0	ATP10A	0.5	muse
0	ATP2C2	0.5	muse
0	ATP6AP1	0.5	muse
0	BAG1	0.5	muse
0	BAG6	0.5	muse
0	BET1L	0.5	muse
0	BMP4	0.5	muse
0	BZRAP1	0.5	muse
0	C1orf122	0.5	muse
0	C1QTNF5	0.5	muse
0	C2orf71	0.5	muse
0	CAMKK1	0.5	muse
0	CCDC91	0.5	muse
0	CD1B	0.5	muse
0	CDC42BPG	0.5	muse
0	CFAP36	0.5	muse
0	CLCN3	0.5	muse
0	CLIP3	0.5	muse
0	CNN2	0.5	muse
0	COG2	0.5	muse
0	COL4A3BP	0.5	muse
0	CORO2B	0.5	muse
0	CPA1	0.5	muse
0	CSGALNACT1	0.5	muse
0	CSRP2	0.5	muse
0	DGKH	0.5	muse
0	DHRS4	0.5	muse
0	DHX58	0.5	muse
0	DIS3L2	0.5	muse
0	DMBX1	0.5	muse
0	DMWD	0.5	muse
0	DNAH9	0.21994085642576733	muse
0	DNAJB2	0.5	muse
0	DPCD	0.5	muse
0	DSC3	0.23975006109347674	muse
0	DYRK4	0.5	muse
0	EDRF1	0.23975006109347674	muse
0	EGLN2	0.5	muse
0	ELANE	0.5	muse
0	ELL2	0.5	muse
0	ENG	0.5	muse
0	ENOSF1	0.5	muse
0	EOGT	0.5	muse
0	ERAP2	0.5	muse
0	ERMP1	0.5	muse
0	ESR1	0.23975006109347674	muse
0	EXD3	0.5	muse
0	EXOC6	0.5	muse
0	FAM131A	0.5	muse
0	FAM184A	0.23975006109347674	muse
0	FAM198B	0.5	muse
0	FAM78B	0.23975006109347674	muse
0	GAS2L1	0.5	muse
0	GLO1	0.5	muse
0	GLRA1	0.5	muse
0	GPR180	0.23975006109347674	muse
0	GYS1	0.5	muse
0	HEATR4	0.5	muse
0	HECW2	0.12410653949496181	muse
0	HIST1H2AC	0.5	muse
0	HOXA9	0.5	muse
0	HOXC11	0.5	muse
0	HTR5A	0.5	muse
0	IDH3G	0.5	muse
0	IFIT1B	0.5	muse
0	IFNA7	0.5	muse
0	IGFBP7	0.5	muse
0	INPP4B	0.5	muse
0	IPMK	0.5	muse
0	ITM2C	0.5	muse
0	IYD	0.5	muse
0	KIAA1211	0.5	muse
0	KIAA1324L	0.5	muse
0	KIAA1755	0.5	muse
0	KIF24	0.5	muse
0	KIF3C	0.5	muse
0	KIRREL	0.5	muse
0	KPNB1	0.23975006109347674	muse
0	KPTN	0.5	muse
0	KRR1	0.5	muse
0	KRTAP19-2	0.5	muse
0	LEFTY2	0.5	muse
0	LENG8	0.5	muse
0	LPP	0.5	muse
0	LRRC27	0.5	muse
0	LRRC43	0.5	muse
0	MADD	0.23975006109347674	muse
0	MAST2	0.23975006109347674	muse
0	MCOLN1	0.5	muse
0	MCRS1	0.5	muse
0	MFAP4	0.5	muse
0	MFSD8	0.5	muse
0	MOB3C	0.5	muse
0	MPV17	0.5	muse
0	MRPL32	0.5	muse
0	MSGN1	0.5	muse
0	MST1	0.5	muse
0	MYH10	0.5	muse
0	MYOM2	0.23975006109347674	muse
0	NECAB2	0.5	muse
0	NELL1	0.5	muse
0	NES	0.23975006109347674	muse
0	NFS1	0.5	muse
0	NGEF	0.5	muse
0	NIPAL2	0.5	muse
0	NR6A1	0.5	muse
0	OLAH	0.5	muse
0	OR5K4	0.5	muse
0	ORAI1	0.5	muse
0	PAG1	0.5	muse
0	PCDHB7	0.06680720126885807	muse
0	PDLIM1	0.5	muse
0	PEX11B	0.5	muse
0	PEX7	0.5	muse
0	PGS1	0.5	muse
0	PHB	0.23975006109347674	muse
0	PHLPP1	0.5	muse
0	PHYHIP	0.5	muse
0	PIK3CD	0.5	muse
0	PLCD1	0.5	muse
0	PRDM7	0.5	muse
0	PRSS33	0.5	muse
0	PSMD1	0.5	muse
0	PTGFRN	0.23975006109347674	muse
0	PTPRA	0.5	muse
0	RAD52	0.5	muse
0	RASGEF1A	0.5	muse
0	RASL10B	0.5	muse
0	RBM19	0.5	muse
0	RBM42	0.5	muse
0	REV3L	0.23975006109347674	muse
0	RHOU	0.5	muse
0	RHOXF1	0.5	muse
0	RMND5B	0.23975006109347674	muse
0	RNF14	0.3085375387259869	muse
0	RNF217	0.5	muse
0	RORC	0.5	muse
0	RRP1B	0.5	muse
0	SEC13	0.5	muse
0	SELPLG	0.5	muse
0	SEPP1	0.5	muse
0	SERPIND1	0.5	muse
0	SERTAD2	0.5	muse
0	SH3GL2	0.5	muse
0	SIL1	0.5	muse
0	SLC26A7	0.5	muse
0	SLC5A11	0.5	muse
0	SNAPC5	0.5	muse
0	SOAT1	0.5	muse
0	SPNS2	0.5	muse
0	SPRR3	0.5	muse
0	SSH3	0.5	muse
0	ST18	0.5	muse
0	STAB1	0.5	muse
0	STOML1	0.5	muse
0	STX11	0.23975006109347674	muse
0	SYNGR3	0.5	muse
0	SYVN1	0.5	muse
0	TAGLN3	0.5	muse
0	TBC1D17	0.5	muse
0	TBC1D23	0.5	muse
0	THOC6	0.5	muse
0	THTPA	0.5	muse
0	TM2D2	0.5	muse
0	TMCC3	0.5	muse
0	TMEM97	0.5	muse
0	TMOD4	0.5	muse
0	TNFAIP8L3	0.5	muse
0	TRAPPC1	0.5	muse
0	TREML4	0.5	muse
0	TRGV2	0.5	muse
0	TRIM48	0.5	muse
0	TRMT1	0.5	muse
0	TSHR	0.5	muse
0	TUFT1	0.5	muse
0	UCN3	0.5	muse
0	UMODL1	0.5	muse
0	UNG	0.5	muse
0	UQCC1	0.5	muse
0	USP19	0.5	muse
0	USP43	0.5	muse
0	USP50	0.5	muse
0	VSTM2L	0.5	muse
0	WLS	0.5	muse
0	WWP2	0.5	muse
0	ZBTB4	0.5	muse
0	ZFHX3	0.12410653949496181	muse
0	ZMYND12	0.5	muse
0	ZNF217	0.5	muse
0	ZNF221	0.5	muse
0	ZNF544	0.5	muse
0	ZNF586	0.5	muse
0	ZNF727	0.5	muse
0	ZNF750	0.5	muse
0	ZNF771	0.5	muse
0	ZNF777	0.5	muse
