	gene	pvalue
0	KRTAP10-8	0.5
0	LPAR4	0.12410653949496181
0	MAP3K14	0.12410653949496181
0	MFN2	0.3085375387259869
0	MKL2	0.06680720126885807
0	NASP	0.5
0	NFKBID	0.5
0	NRSN2	0.5
0	OMD	0.5
0	PATE1	0.5
0	PCDHGB4	0.5
0	PEG3	0.23975006109347674
0	PROX2	0.5
0	RAG1	0.5
0	RCBTB2	0.5
0	ROCK2	0.5
0	RP11-903H12.5	0.5
0	SDSL	0.5
0	SOGA1	0.12410653949496181
0	STK36	0.23975006109347674
0	TAS2R19	0.5
0	TLR8	0.5
0	TMEM63A	0.23975006109347674
0	TNFRSF1B	0.23975006109347674
0	TTC4	0.23975006109347674
0	TXNDC11	0.5
0	UGT1A6	0.5
0	UNC5C	0.23975006109347674
0	USP37	0.5
0	XYLB	0.12410653949496181
0	ZGRF1	0.12410653949496181
0	ZNF217	0.5
0	ZNF776	0.23975006109347674
0	ANKS6	0.5
0	AOC2	0.23975006109347674
0	ATP1A2	0.23975006109347674
0	BUD31	0.5
0	CAPN7	0.12410653949496181
0	CDH24	0.27014568730370997
0	CDYL	0.5
0	CEP126	0.5
0	CEP290	0.12410653949496181
0	CEP95	0.23975006109347674
0	CTNNA1	0.08292833017145501
0	DCAF8L2	0.5
0	DESI2	0.5
0	DUS3L	0.23975006109347674
0	ESYT2	0.5
0	FAM102A	0.23975006109347674
0	FRG2B	0.27014568730370997
0	FZD2	0.5
0	GGH	0.5
0	GLRA1	0.5
0	HOXD1	0.5
0	IGHG3	0.23975006109347674
0	IRX6	0.23975006109347674
0	JADE3	0.27014568730370997
0	KARS	0.23975006109347674
0	KCNQ1	0.12410653949496181
0	KLHDC10	0.23975006109347674
0	KLHL42	0.5
0	KRTAP27-1	0.23975006109347674
0	LEPR	0.5
0	LIAS	0.5
0	MBLAC1	0.23975006109347674
0	MEX3B	0.12410653949496181
0	MOV10L1	0.5
0	MSI1	0.5
0	MYH14	0.23975006109347674
0	MYL12A	0.5
0	NEDD9	0.5
0	OR4A5	0.5
0	PARD6B	0.020613416668581838
0	PCNXL3	0.23975006109347674
0	PRCC	0.5
0	SAV1	0.5
0	SMAGP	0.5
0	SYNE1	0.5
0	TAS1R3	0.06680720126885807
0	TDG	0.5
0	TLN1	0.19323811538561636
0	TMEM88	0.23975006109347674
0	TMPRSS7	0.5
0	UBE2K	0.23975006109347674
0	USH1G	0.5
0	VTA1	0.5
0	XPO7	0.5
0	ZNF540	0.5
0	ZNF565	0.5
0	ZNF629	0.12410653949496181
0	ADGRA2	0.12410653949496181
0	ALKBH8	0.5
0	CD300C	0.5
0	CELSR3	0.36183680491588155
0	MUC16	0.45366316251587213
0	PRDM15	0.12410653949496181
0	TIMP1	0.5
0	TUBB	0.5
0	ADPRH	0.5
0	AP5Z1	0.5
0	ATP1B4	0.23975006109347674
0	B4GALT5	0.5
0	BANP	0.23975006109347674
0	CAPN12	0.06680720126885807
0	CENPB	0.23975006109347674
0	CSMD3	0.5
0	DSC1	0.5
0	FKBP1B	0.5
0	FREM2	0.011671101006445408
0	GNAZ	0.23975006109347674
0	GPHA2	0.5
0	HAGH	0.23975006109347674
0	HELZ2	0.040059156863817086
0	HOXD9	0.5
0	IGSF8	0.5
0	KIF16B	0.5
0	LRG1	0.5
0	MAGI3	0.23975006109347674
0	MED18	0.5
0	MEF2D	0.5
0	MYO1A	0.5
0	NAA25	0.5
0	NIPAL3	0.23975006109347674
0	NOP14	0.5
0	NPAS4	0.23975006109347674
0	ODC1	0.5
0	PCDHB10	0.17288929307558015
0	PCLO	0.11651899113695269
0	PDE4A	0.5
0	PFKM	0.23975006109347674
0	PHF11	0.23975006109347674
0	PKDREJ	0.06680720126885807
0	PLEKHG4	0.23975006109347674
0	POU2AF1	0.12410653949496181
0	PPP2R1A	0.23975006109347674
0	PRPF8	0.23975006109347674
0	RARS2	0.12410653949496181
0	RGS3	0.12410653949496181
0	RXRA	0.23975006109347674
0	SETD2	0.2704344785732706
0	SLC16A11	0.5
0	SLC25A28	0.23975006109347674
0	SLC5A5	0.23975006109347674
0	SRGAP2C	0.5
0	SUMO3	0.5
0	TAF9	0.5
0	TMC4	0.23975006109347674
0	TMEM254	0.5
0	TPO	0.12410653949496181
0	TRAK1	0.23975006109347674
0	UAP1	0.5
0	USP34	0.1029516053660342
0	VANGL1	0.5
0	VPS13C	0.020613416668581838
0	WDR91	0.06680720126885807
0	WSCD1	0.23975006109347674
0	ZBTB48	0.5
0	ZNF212	0.5
0	ZNF99	0.5
0	CCDC88B	0.5
0	CHST9	0.5
0	CKAP4	0.5
0	DMPK	0.12410653949496181
0	DOCK10	0.12410653949496181
0	EP400	0.34154569915480437
0	EXD2	0.23975006109347674
0	FNDC8	0.5
0	GATA3	0.5
0	GRIK4	0.23975006109347674
0	HNF1B	0.23975006109347674
0	INSRR	0.03681913506015133
0	ITFG2	0.5
0	KIF26A	0.23975006109347674
0	KIRREL	0.5
0	KLRG1	0.5
0	LAMA4	0.27014568730370997
0	MIIP	0.5
0	MKI67	0.5
0	MLK4	0.23975006109347674
0	MMP10	0.5
0	MPDU1	0.5
0	NHSL1	0.5
0	PIK3CB	0.12410653949496181
0	PRRT3	0.5
0	PSMD1	0.23975006109347674
0	RAB17	0.23975006109347674
0	RAPGEF5	0.5
0	RECQL4	0.5
0	REM1	0.23975006109347674
0	SEC14L1	0.5
0	SHQ1	0.23975006109347674
0	SLC25A22	0.5
0	SLC4A9	0.5
0	SMEK1	0.23975006109347674
0	TINAG	0.23975006109347674
0	USP44	0.5
0	VPS41	0.5
0	ZNF438	0.12410653949496181
0	ZNF567	0.27014568730370997
0	AGAP4	0.5
0	APC2	0.23975006109347674
0	ASRGL1	0.5
0	ATP5H	0.5
0	C5orf42	0.1508497912391739
0	CDC25C	0.5
