Values	total	status	pValue
Min.	0	NS	1
1st Qu.	0	NS	1
Median	1	NS	1
Mean	1	NS	1
3rd Qu.	2	NS	1
Max.	2	NS	1
Min.	0	S	1
1st Qu.	0	S	1
Median	1	S	1
Mean	1.23076923076923	S	1
3rd Qu.	1	S	1
Max.	4	S	1
