Values	total	status	pValue
Min.	3	NS	0.696137953741015
1st Qu.	4.5	NS	0.696137953741015
Median	6	NS	0.696137953741015
Mean	18	NS	0.696137953741015
3rd Qu.	25.5	NS	0.696137953741015
Max.	45	NS	0.696137953741015
Min.	3	S	0.696137953741015
1st Qu.	7	S	0.696137953741015
Median	15	S	0.696137953741015
Mean	17.4545454545455	S	0.696137953741015
3rd Qu.	26	S	0.696137953741015
Max.	41	S	0.696137953741015
