	gene	pvalue
0	TARS2	0.12410653949496181
0	TMEM180	0.5
0	TMEM182	0.5
0	TRDMT1	0.23975006109347674
0	TUBB3	0.5
0	YARS	0.23975006109347674
0	CNTNAP1	0.06680720126885807
0	COLEC11	0.5
0	CYP3A7	0.5
0	DLGAP1	0.23975006109347674
0	HIST1H2AJ	0.5
0	IL12RB2	0.12410653949496181
0	KIAA1024	0.17288929307558015
0	LAD1	0.5
0	MPHOSPH10	0.5
0	NIT2	0.12410653949496181
0	RPN1	0.5
0	RPS3A	0.5
0	SGCE	0.5
0	SGIP1	0.23975006109347674
0	SLC17A2	0.5
0	TMEM187	0.5
0	TTC12	0.5
0	YME1L1	0.12410653949496181
0	ZBTB26	0.5
0	ZNF551	0.5
0	ZNF615	0.23975006109347674
0	ZNF616	0.12410653949496181
0	ZNF654	0.5
0	AP3M2	0.5
0	ARAP3	0.5
0	CIT	0.06680720126885807
0	FAM73B	0.5
0	GOLGA5	0.23975006109347674
0	HELZ2	0.12410653949496181
0	MBD6	0.5
0	MCM6	0.5
0	MRPS24	0.5
0	NRROS	0.12410653949496181
0	OLFML3	0.5
0	OR56A3	0.5
0	POPDC2	0.23975006109347674
0	PTPRC	0.1178399567145188
0	RPL4	0.23975006109347674
0	SLC29A4	0.5
0	SLC37A1	0.5
0	SLC39A7	0.23975006109347674
0	SSMEM1	0.5
0	TRPM6	0.34154569915480437
0	TTYH1	0.5
0	USP22	0.23975006109347674
0	BACH1	0.23975006109347674
0	BSN	0.5
0	BTF3L4	0.5
0	C11orf63	0.23975006109347674
0	CACNG4	0.5
0	CHST4	0.23975006109347674
0	COL4A3	0.23975006109347674
0	CTCFL	0.12410653949496181
0	FAM135B	0.12410653949496181
0	GON4L	0.3759148170229246
0	GTF3C1	0.06680720126885807
0	INSC	0.5
0	LCE1E	0.5
0	ME1	0.5
0	ME2	0.23975006109347674
0	NAA60	0.5
0	NRSN1	0.5
0	RPL10A	0.5
0	SMCR8	0.36183680491588155
0	TBCC	0.5
0	TMEM181	0.5
0	TRPV6	0.5
0	WT1	0.23975006109347674
0	ZFP91	0.23975006109347674
0	ZNF425	0.23975006109347674
0	ZNF679	0.5
0	ZNFX1	0.011671101006445408
0	ABCC6	0.03681913506015133
0	ABHD14A-ACY1	0.5
0	ALOX12B	0.5
0	ANXA4	0.5
0	ATP5B	0.23975006109347674
0	CCHCR1	0.23975006109347674
0	CHST8	0.23975006109347674
0	CLASP2	0.23975006109347674
0	CPSF4	0.23975006109347674
0	CWF19L1	0.5
0	DENND2D	0.5
0	DNM1L	0.23975006109347674
0	FANCA	0.23975006109347674
0	FSIP1	0.5
0	GGA1	0.5
0	H1F0	0.23975006109347674
0	HIST1H2AK	0.5
0	IL7R	0.5
0	INTS2	0.5
0	ITPKA	0.5
0	KIAA1522	0.23975006109347674
0	KIAA1614	0.23975006109347674
0	MDH1	0.23975006109347674
0	MFRP	0.5
0	MIER1	0.23975006109347674
0	MYO5A	0.06680720126885807
0	NCOA5	0.23975006109347674
0	NOBOX	0.5
0	NUP35	0.5
0	PARD6B	0.03681913506015133
0	PDXP	0.5
0	PIP	0.5
0	PITRM1	0.23975006109347674
0	PLA2G15	0.5
0	PQLC3	0.23975006109347674
0	PRELID1	0.23975006109347674
0	PSMG1	0.5
0	RARA	0.12410653949496181
0	RASGRP1	0.23975006109347674
0	RASSF6	0.23975006109347674
0	RBM47	0.5
0	RCAN1	0.5
0	S100A14	0.5
0	SECISBP2L	0.2071080891212626
0	SOBP	0.12410653949496181
0	SPZ1	0.23975006109347674
0	SSTR1	0.5
0	TCEANC2	0.5
0	THYN1	0.5
0	TMEM131	0.5
0	TONSL	0.23975006109347674
0	TUBA4A	0.23975006109347674
0	TXNDC15	0.5
0	ZGRF1	0.34154569915480437
0	ZMYM6	0.06680720126885807
0	ZNF512B	0.23975006109347674
0	ZNF737	0.5
0	ZNF846	0.5
0	AK2	0.5
0	ARHGAP31	0.12410653949496181
0	C1orf56	0.5
0	C3AR1	0.5
0	CCNB1IP1	0.5
0	CEP135	0.5
0	CLIP2	0.5
0	COL4A4	0.23975006109347674
0	COL9A1	0.5
0	COPG1	0.5
0	CTC1	0.5
0	DPYSL3	0.23975006109347674
0	ERCC6	0.34154569915480437
0	FBXW11	0.5
0	FIP1L1	0.23975006109347674
0	FRMD3	0.5
0	FZD3	0.23975006109347674
0	GCNT4	0.5
0	GPR89A	0.23975006109347674
0	HELQ	0.5
0	IFIH1	0.5
0	IGHV3-16	0.5
0	KIF16B	0.5
0	KRIT1	0.5
0	MYLK3	0.12410653949496181
0	NABP1	0.23975006109347674
0	NDC1	0.5
0	NEBL	0.23975006109347674
0	NXPE2	0.27014568730370997
0	ODF2	0.03681913506015133
0	OR2AG1	0.34154569915480437
0	OR5L2	0.23975006109347674
0	PAF1	0.23975006109347674
0	PARPBP	0.5
0	RFC1	0.5
0	RIN3	0.5
0	RNF4	0.23975006109347674
0	RPGRIP1L	0.12410653949496181
0	SH3TC2	0.23975006109347674
0	SLC29A2	0.5
0	SP4	0.23975006109347674
0	SPPL2C	0.23975006109347674
0	SYT3	0.23975006109347674
0	TAF1A	0.23975006109347674
0	TAP1	0.5
0	TOM1	0.23975006109347674
0	TUBG1	0.12410653949496181
0	WHSC1L1	0.06680720126885807
0	ZNF284	0.5
0	ZNF496	0.23975006109347674
0	ZNF610	0.23975006109347674
0	ADGRF1	0.23975006109347674
0	AKAP8L	0.23975006109347674
0	ANKRD34A	0.23975006109347674
0	ANPEP	0.06680720126885807
0	ARHGAP11A	0.23975006109347674
0	ATG9B	0.5
0	CACNA1D	0.06680720126885807
0	CCDC14	0.5
0	CDC14A	0.03681913506015133
0	CHD8	0.23975006109347674
0	CNOT1	0.19323811538561636
0	CREB3	0.23975006109347674
0	CUBN	0.17726973988675065
0	FNDC3A	0.23975006109347674
0	GOLGA3	0.06680720126885807
0	HIST1H4E	0.5
0	IGSF9	0.5
0	MPG	0.5
0	NUCB2	0.5
0	OBSCN	0.14442218317324246
0	PFAS	0.23975006109347674
0	PPIL2	0.5
0	RERE	0.5
0	RHOB	0.12410653949496181
0	SCUBE2	0.23975006109347674
0	SETDB1	0.5
0	SNX13	0.23975006109347674
0	SRC	0.12410653949496181
0	SUSD6	0.5
0	TMEM214	0.23975006109347674
0	TP53I3	0.5
0	TP53RK	0.5
0	WLS	0.5
0	ANKRD42	0.5
0	BCAN	0.27014568730370997
0	BID	0.5
0	CBLC	0.5
0	GAK	0.5
0	JAKMIP2	0.23975006109347674
0	JKAMP	0.5
0	JUP	0.23975006109347674
0	KMT2D	0.24948114930188048
0	MICU1	0.23975006109347674
0	MICU2	0.23975006109347674
0	PCDHGC5	0.5
0	PSMD6	0.5
0	SGCA	0.5
0	TMEM126A	0.5
0	VAPB	0.5
0	ZNF292	0.12410653949496181
0	ZNF324B	0.23975006109347674
0	ALOX15B	0.5
0	ANO1	0.5
0	ARHGEF5	0.23975006109347674
0	ATP5C1	0.5
0	C6orf222	0.5
0	CDH7	0.12410653949496181
0	CHRNA1	0.23975006109347674
0	CLVS1	0.23975006109347674
0	CTC-260F20.3	0.23975006109347674
0	CXCR6	0.06680720126885807
0	DBF4B	0.5
0	DSG1	0.23975006109347674
0	EPHA2	0.5
0	GANAB	0.5
0	GM2A	0.5
0	GNB1L	0.5
0	GREB1	0.34154569915480437
0	HMHA1	0.12410653949496181
0	IL3	0.5
0	KLHL15	0.5
0	KLHL38	0.23975006109347674
0	MAP6	0.5
0	MYT1	0.23975006109347674
0	NMRAL1	0.12410653949496181
0	NUDT6	0.5
0	ONECUT1	0.5
0	PIRT	0.5
0	RGPD8	0.17288929307558015
0	SIGLEC8	0.3085375387259869
0	SLC16A1	0.23975006109347674
0	SNX7	0.5
0	SRP9	0.5
0	TTC4	0.5
0	ZNF333	0.5
0	ZNF584	0.23975006109347674
0	ZP4	0.5
0	BCL3	0.5
0	BECN1	0.5
0	BTBD7	0.23975006109347674
0	BTN1A1	0.23975006109347674
0	CCNL1	0.5
0	CMYA5	0.12410653949496181
0	CPNE7	0.12410653949496181
0	DNAH9	0.46104253637457615
0	EDA	0.5
0	ENAM	0.23975006109347674
0	FAM120AOS	0.23975006109347674
0	FAM50B	0.23975006109347674
0	FASTKD1	0.12410653949496181
0	GABBR1	0.5
0	GPR143	0.23975006109347674
0	KIF15	0.5
0	LRRC37B	0.12410653949496181
0	MS4A7	0.5
0	NETO1	0.5
0	OCLN	0.23975006109347674
0	PCLO	0.18065521426308934
0	PEX5	0.5
0	PISD	0.5
0	PLA2G7	0.5
0	RNF180	0.5
0	SAMD14	0.23975006109347674
0	SKA1	0.5
0	SLC12A2	0.020613416668581838
0	SMARCA1	0.5
0	SPAG16	0.5
0	STOX1	0.5
0	TBX3	0.23975006109347674
0	TNRC18	0.3085375387259869
0	TPST2	0.5
0	TSC22D1	0.5
0	TTC21A	0.23975006109347674
0	ZDHHC2	0.23975006109347674
0	ZFYVE28	0.23975006109347674
0	ZNF277	0.5
