Values	total	status	pValue
Min.	0	AfrAmr	0.8908431699901425
1st Qu.	3	AfrAmr	0.8908431699901425
Median	8	AfrAmr	0.8908431699901425
Mean	9.12765957446809	AfrAmr	0.8908431699901425
3rd Qu.	12.5	AfrAmr	0.8908431699901425
Max.	49	AfrAmr	0.8908431699901425
Min.	0	EurAmr	0.8908431699901425
1st Qu.	3	EurAmr	0.8908431699901425
Median	7	EurAmr	0.8908431699901425
Mean	13.6574074074074	EurAmr	0.8908431699901425
3rd Qu.	16.25	EurAmr	0.8908431699901425
Max.	206	EurAmr	0.8908431699901425
