Values	total	status	pValue
Min.	9	AfrAmr	0.12413056670799365
1st Qu.	12.5	AfrAmr	0.12413056670799365
Median	20	AfrAmr	0.12413056670799365
Mean	23.1428571428571	AfrAmr	0.12413056670799365
3rd Qu.	35.5	AfrAmr	0.12413056670799365
Max.	37	AfrAmr	0.12413056670799365
Min.	4	EurAmr	0.12413056670799365
1st Qu.	21	EurAmr	0.12413056670799365
Median	32	EurAmr	0.12413056670799365
Mean	36.4	EurAmr	0.12413056670799365
3rd Qu.	43	EurAmr	0.12413056670799365
Max.	220	EurAmr	0.12413056670799365
