Values	total	status	pValue
Min.	2	AfrAmr	0.11838160728236861
1st Qu.	11	AfrAmr	0.11838160728236861
Median	14	AfrAmr	0.11838160728236861
Mean	15.25	AfrAmr	0.11838160728236861
3rd Qu.	18.25	AfrAmr	0.11838160728236861
Max.	31	AfrAmr	0.11838160728236861
Min.	0	EurAmr	0.11838160728236861
1st Qu.	4	EurAmr	0.11838160728236861
Median	6	EurAmr	0.11838160728236861
Mean	7.18333333333333	EurAmr	0.11838160728236861
3rd Qu.	10	EurAmr	0.11838160728236861
Max.	32	EurAmr	0.11838160728236861
